status,id
STATUS_SUCCESS,0x00000000
STATUS_INVALID_SMB,0x00010002
STATUS_SMB_BAD_TID,0x00050002
STATUS_SMB_BAD_COMMAND,0x00160002
STATUS_SMB_BAD_UID,0x005b0002
STATUS_SMB_USE_STANDARD,0x00fb0002
STATUS_BUFFER_OVERFLOW,0x80000005
STATUS_NO_MORE_FILES,0x80000006
STATUS_STOPPED_ON_SYMLINK,0x8000002d
STATUS_NOT_IMPLEMENTED,0xc0000002
STATUS_INVALID_PARAMETER,0xc000000d
STATUS_NO_SUCH_DEVICE,0xc000000e
STATUS_INVALID_DEVICE_REQUEST,0xc0000010
STATUS_MORE_PROCESSING_REQUIRED,0xc0000016
STATUS_ACCESS_DENIED,0xc0000022
STATUS_BUFFER_TOO_SMALL,0xc0000023
STATUS_OBJECT_NAME_NOT_FOUND,0xc0000034
STATUS_OBJECT_NAME_COLLISION,0xc0000035
STATUS_OBJECT_PATH_NOT_FOUND,0xc000003a
STATUS_BAD_IMPERSONATION_LEVEL,0xc00000a5
STATUS_IO_TIMEOUT,0xc00000b5
STATUS_FILE_IS_A_DIRECTORY,0xc00000ba
STATUS_NOT_SUPPORTED,0xc00000bb
STATUS_NETWORK_NAME_DELETED,0xc00000c9
STATUS_USER_SESSION_DELETED,0xc0000203
STATUS_NETWORK_SESSION_EXPIRED,0xc000035c
STATUS_SMB_TOO_MANY_UIDS,0Xc000205a